year,industry,publication_count,query,timestamp
2020,education,29209,"((large language model OR LLM OR ""LL models"" OR AI) AND (education OR student OR learning OR teaching OR edtech)) AND submittedDate:[20200101 TO 20201231]",2025-10-07T02:22:57.403233
2020,medicine,4402,"((large language model OR LLM OR ""LL models"" OR AI) AND (medicine OR medical OR healthcare OR health OR patient)) AND submittedDate:[20200101 TO 20201231]",2025-10-07T02:22:59.152636
2020,finance,2503,"((large language model OR LLM OR ""LL models"" OR AI) AND (finance OR financial OR stock OR investment OR banking OR economy)) AND submittedDate:[20200101 TO 20201231]",2025-10-07T02:23:00.909853
2020,science,56190,"((large language model OR LLM OR ""LL models"" OR AI) AND (science OR research OR discovery OR biology OR physics OR chemistry OR data)) AND submittedDate:[20200101 TO 20201231]",2025-10-07T02:23:02.744649
2020,entertainment,4187,"((large language model OR LLM OR ""LL models"" OR AI) AND (entertainment OR gaming OR movie OR music OR media OR game OR film)) AND submittedDate:[20200101 TO 20201231]",2025-10-07T02:23:04.492494
2021,education,32321,"((large language model OR LLM OR ""LL models"" OR AI) AND (education OR student OR learning OR teaching OR edtech)) AND submittedDate:[20210101 TO 20211231]",2025-10-07T02:23:06.706411
2021,medicine,4314,"((large language model OR LLM OR ""LL models"" OR AI) AND (medicine OR medical OR healthcare OR health OR patient)) AND submittedDate:[20210101 TO 20211231]",2025-10-07T02:23:08.434220
2021,finance,2590,"((large language model OR LLM OR ""LL models"" OR AI) AND (finance OR financial OR stock OR investment OR banking OR economy)) AND submittedDate:[20210101 TO 20211231]",2025-10-07T02:23:10.101126
2021,science,59168,"((large language model OR LLM OR ""LL models"" OR AI) AND (science OR research OR discovery OR biology OR physics OR chemistry OR data)) AND submittedDate:[20210101 TO 20211231]",2025-10-07T02:23:11.861916
2021,entertainment,4330,"((large language model OR LLM OR ""LL models"" OR AI) AND (entertainment OR gaming OR movie OR music OR media OR game OR film)) AND submittedDate:[20210101 TO 20211231]",2025-10-07T02:23:14.005919
2022,education,36273,"((large language model OR LLM OR ""LL models"" OR AI) AND (education OR student OR learning OR teaching OR edtech)) AND submittedDate:[20220101 TO 20221231]",2025-10-07T02:23:16.077028
2022,medicine,4648,"((large language model OR LLM OR ""LL models"" OR AI) AND (medicine OR medical OR healthcare OR health OR patient)) AND submittedDate:[20220101 TO 20221231]",2025-10-07T02:23:17.776297
2022,finance,2569,"((large language model OR LLM OR ""LL models"" OR AI) AND (finance OR financial OR stock OR investment OR banking OR economy)) AND submittedDate:[20220101 TO 20221231]",2025-10-07T02:23:19.514700
2022,science,62341,"((large language model OR LLM OR ""LL models"" OR AI) AND (science OR research OR discovery OR biology OR physics OR chemistry OR data)) AND submittedDate:[20220101 TO 20221231]",2025-10-07T02:23:21.333666
2022,entertainment,4124,"((large language model OR LLM OR ""LL models"" OR AI) AND (entertainment OR gaming OR movie OR music OR media OR game OR film)) AND submittedDate:[20220101 TO 20221231]",2025-10-07T02:23:23.124540
2023,education,45124,"((large language model OR LLM OR ""LL models"" OR AI) AND (education OR student OR learning OR teaching OR edtech)) AND submittedDate:[20230101 TO 20231231]",2025-10-07T02:23:25.341339
2023,medicine,6365,"((large language model OR LLM OR ""LL models"" OR AI) AND (medicine OR medical OR healthcare OR health OR patient)) AND submittedDate:[20230101 TO 20231231]",2025-10-07T02:23:27.196265
2023,finance,3255,"((large language model OR LLM OR ""LL models"" OR AI) AND (finance OR financial OR stock OR investment OR banking OR economy)) AND submittedDate:[20230101 TO 20231231]",2025-10-07T02:23:28.822648
2023,science,73786,"((large language model OR LLM OR ""LL models"" OR AI) AND (science OR research OR discovery OR biology OR physics OR chemistry OR data)) AND submittedDate:[20230101 TO 20231231]",2025-10-07T02:23:30.546871
2023,entertainment,5153,"((large language model OR LLM OR ""LL models"" OR AI) AND (entertainment OR gaming OR movie OR music OR media OR game OR film)) AND submittedDate:[20230101 TO 20231231]",2025-10-07T02:23:32.256792
2024,education,56948,"((large language model OR LLM OR ""LL models"" OR AI) AND (education OR student OR learning OR teaching OR edtech)) AND submittedDate:[20240101 TO 20241231]",2025-10-07T02:23:34.000219
2024,medicine,8693,"((large language model OR LLM OR ""LL models"" OR AI) AND (medicine OR medical OR healthcare OR health OR patient)) AND submittedDate:[20240101 TO 20241231]",2025-10-07T02:23:35.710594
2024,finance,4590,"((large language model OR LLM OR ""LL models"" OR AI) AND (finance OR financial OR stock OR investment OR banking OR economy)) AND submittedDate:[20240101 TO 20241231]",2025-10-07T02:23:37.320954
2024,science,91371,"((large language model OR LLM OR ""LL models"" OR AI) AND (science OR research OR discovery OR biology OR physics OR chemistry OR data)) AND submittedDate:[20240101 TO 20241231]",2025-10-07T02:23:39.196879
2024,entertainment,6252,"((large language model OR LLM OR ""LL models"" OR AI) AND (entertainment OR gaming OR movie OR music OR media OR game OR film)) AND submittedDate:[20240101 TO 20241231]",2025-10-07T02:23:40.839135
2025,education,52434,"((large language model OR LLM OR ""LL models"" OR AI) AND (education OR student OR learning OR teaching OR edtech)) AND submittedDate:[20250101 TO 20251231]",2025-10-07T02:23:43.280815
